Date,Price
8/4/2022,22630.96
8/5/2022,23289.31
8/6/2022,22961.28
8/7/2022,23175.89
8/8/2022,23809.49
8/9/2022,23164.32
8/10/2022,23947.64
8/11/2022,23957.53
8/12/2022,24402.82
8/13/2022,24424.07
8/14/2022,24319.33
8/15/2022,24136.97
8/16/2022,23883.29
8/17/2022,23336
8/18/2022,23212.74
8/19/2022,20877.55
8/20/2022,21166.06
8/21/2022,21534.12
8/22/2022,21398.91
8/23/2022,21528.09
8/24/2022,21395.02
8/25/2022,21600.91
8/26/2022,20260.02
8/27/2022,20041.74
8/28/2022,19616.81
8/29/2022,20297.99
8/30/2022,19796.81
8/31/2022,20049.76
9/1/2022,20127.14
9/2/2022,19969.77
9/3/2022,19832.09
9/4/2022,19986.71
9/5/2022,19812.37
9/6/2022,18837.67
9/7/2022,19290.32
9/8/2022,19329.83
9/9/2022,21381.15
9/10/2022,21680.54
9/11/2022,21769.26
9/12/2022,22370.45
9/13/2022,20296.71
9/14/2022,20241.09
9/15/2022,19701.21
9/16/2022,19772.58
9/17/2022,20127.58
9/18/2022,19419.51
9/19/2022,19544.13
9/20/2022,18890.79
9/21/2022,18547.4
9/22/2022,19413.55
9/23/2022,19297.64
9/24/2022,18937.01
9/25/2022,18802.1
9/26/2022,19222.67
9/27/2022,19110.55
9/28/2022,19426.72
9/29/2022,19573.05
9/30/2022,19431.79
10/1/2022,19312.09
10/2/2022,19044.11
10/3/2022,19623.58
10/4/2022,20336.84
10/5/2022,20160.72
10/6/2022,19955.44
10/7/2022,19546.85
10/8/2022,19416.57
10/9/2022,19446.43
10/10/2022,19141.48
10/11/2022,19051.42
10/12/2022,19157.45
10/13/2022,19382.9
10/14/2022,19185.66
10/15/2022,19067.64
10/16/2022,19268.09
10/17/2022,19550.76
10/18/2022,19334.42
10/19/2022,19139.53
10/20/2022,19053.74
10/21/2022,19172.47
10/22/2022,19208.19
10/23/2022,19567.01
10/24/2022,19345.57
10/25/2022,20095.86
10/26/2022,20770.44
10/27/2022,20285.84
10/28/2022,20595.35
10/29/2022,20818.48
10/30/2022,20635.6
10/31/2022,20495.77
11/1/2022,20485.27
11/2/2022,20159.5
11/3/2022,20209.99
11/4/2022,21147.23
11/5/2022,21282.69
11/6/2022,20926.49
11/7/2022,20602.82
11/8/2022,18541.27
11/9/2022,15880.78
11/10/2022,17586.77
11/11/2022,17034.29
11/12/2022,16799.18
11/13/2022,16353.37
11/14/2022,16618.2
11/15/2022,16884.61
11/16/2022,16669.44
11/17/2022,16687.52
11/18/2022,16697.78
11/19/2022,16711.55
11/20/2022,16291.83
11/21/2022,15787.28
11/22/2022,16189.77
11/23/2022,16610.71
11/24/2022,16604.47
11/25/2022,16521.84
11/26/2022,16464.28
11/27/2022,16444.63
11/28/2022,16217.32
11/29/2022,16444.98
11/30/2022,17168.57
12/1/2022,16967.13
12/2/2022,17088.66
12/3/2022,16908.24
12/4/2022,17130.49
12/5/2022,16974.83
12/6/2022,17089.5
12/7/2022,16848.13
12/8/2022,17233.47
12/9/2022,17133.15
12/10/2022,17128.72
12/11/2022,17104.19
12/12/2022,17206.44
12/13/2022,17781.32
12/14/2022,17652.1
12/15/2022,17364.86
12/16/2022,16647.48
12/17/2022,16795.09
12/18/2022,16757.98
12/19/2022,16439.68
12/20/2022,16906.31
12/21/2022,16817.53
12/22/2022,16830.34
12/23/2022,16796.95
12/24/2022,16847.76
12/25/2022,16841.99
12/26/2022,16919.81
12/27/2022,16717.17
12/28/2022,16552.57
12/29/2022,16642.34
12/30/2022,16602.59
12/31/2022,16547.5
1/1/2023,16625.08
1/2/2023,16688.47
1/3/2023,16679.86
1/4/2023,16863.24
1/5/2023,16836.74
1/6/2023,16951.97
1/7/2023,16955.08
1/8/2023,17091.14
1/9/2023,17196.55
1/10/2023,17446.29
1/11/2023,17943.9
1/12/2023,18869.59
1/13/2023,19909.57
1/14/2023,20976.3
1/15/2023,20880.8
1/16/2023,21169.63
1/17/2023,21161.52
1/18/2023,20688.78
1/19/2023,21086.79
1/20/2023,22676.55
1/21/2023,22777.63
1/22/2023,22720.42
1/23/2023,22934.43
1/24/2023,22636.47
1/25/2023,23117.86
1/26/2023,23032.78
1/27/2023,23078.73
1/28/2023,23031.09
1/29/2023,23774.57
1/30/2023,22840.14
1/31/2023,23139.28
2/1/2023,23723.77
2/2/2023,23471.87
2/3/2023,23449.32
2/4/2023,23331.85
2/5/2023,22955.67
2/6/2023,22760.11
2/7/2023,23264.29
2/8/2023,22939.4
2/9/2023,21819.04
2/10/2023,21651.18
2/11/2023,21870.87
2/12/2023,21788.2
2/13/2023,21808.1
2/14/2023,22220.8
2/15/2023,24307.84
2/16/2023,23623.47
2/17/2023,24565.6
2/18/2023,24641.28
2/19/2023,24327.64
2/20/2023,24829.15
2/21/2023,24436.35
2/22/2023,24188.84
2/23/2023,23947.49
2/24/2023,23198.13
2/25/2023,23175.38
2/26/2023,23561.21
2/27/2023,23522.87
2/28/2023,23147.35
3/1/2023,23646.55
3/2/2023,23475.47
3/3/2023,22362.68
3/4/2023,22353.35
3/5/2023,22435.51
3/6/2023,22429.76
3/7/2023,22219.77
3/8/2023,21718.08
3/9/2023,20363.02
3/10/2023,20187.24
